Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.10-192.168.56.11-47726-22-6,192.168.56.10,47726,192.168.56.11,22,6,04/01/2026 12:29:52 PM,119882,10,10,1266.0,1790.0,1008.0,0.0,126.59999999999997,310.7096536782996,1112.0,0.0,179.0,366.1101837789638,25491.733537979013,166.8307168715904,6309.578947368422,11011.057812317526,41995.0,24.0,117988.0,13109.777777777777,14832.541933008126,43030.0,747.0,116306.0,12922.888888888885,15140.219338276149,44989.0,62.0,0,0,0,0,320,336,83.4153584357952,83.4153584357952,0.0,1112.0,145.52380952380955,324.8968480991496,105557.96190476192,0,1,0,0,0,0,0,0,1.0,152.8,126.6,179.0,0,0,0,0,0,0,10,1266,10,1790,-1,502,7,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-47748-22-6,192.168.56.10,47748,192.168.56.11,22,6,04/01/2026 12:29:52 PM,872669,10,14,1298.0,1826.0,1008.0,0.0,129.79999999999998,310.01999935488027,1112.0,0.0,130.42857142857142,314.9937030593357,3579.822361055566,27.501836320529318,37942.13043478261,114195.86502436957,552518.0,5.0,870936.0,96770.66666666667,200197.9596149771,623670.0,710.0,849542.0,65349.384615384624,148574.29580546476,552518.0,44.0,0,0,0,0,320,464,11.459098466887216,16.0427378536421,0.0,1112.0,124.96,300.7735139048428,90464.70666666665,0,1,0,0,0,0,0,0,1.0,130.16666666666666,129.8,130.42857142857142,0,0,0,0,0,0,10,1298,14,1826,-1,502,7,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-47738-22-6,192.168.56.10,47738,192.168.56.11,22,6,04/01/2026 12:29:52 PM,2677549,10,14,1298.0,1842.0,1008.0,0.0,129.79999999999998,310.01999935488027,1112.0,0.0,131.57142857142856,314.6535859018281,1172.7142995328936,8.963421397703646,116415.17391304347,487738.0142201579,2349672.0,19.0,2676481.0,297386.77777777775,796731.9525961629,2418699.0,875.0,2657102.0,204392.46153846156,645653.5259385919,2349672.0,58.0,0,0,0,0,320,464,3.7347589157098526,5.228662481993793,0.0,1112.0,125.59999999999998,300.59330220970213,90356.33333333331,0,1,0,0,0,0,0,0,1.0,130.83333333333334,129.8,131.57142857142858,0,0,0,0,0,0,10,1298,14,1842,-1,502,7,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-47756-22-6,192.168.56.10,47756,192.168.56.11,22,6,04/01/2026 12:29:52 PM,2669493,10,14,1298.0,1842.0,1008.0,0.0,129.79999999999998,310.01999935488027,1112.0,0.0,131.57142857142856,314.6535859018281,1176.2533185140398,8.990471224311133,116064.91304347826,485178.5949876333,2337751.0,16.0,2667776.0,296419.55555555556,784541.5015856572,2385122.0,861.0,2664910.0,204993.07692307694,641785.781011528,2337751.0,29.0,0,0,0,0,320,464,3.7460296767963053,5.244441547514827,0.0,1112.0,125.59999999999998,300.59330220970213,90356.33333333331,0,1,0,0,0,0,0,0,1.0,130.83333333333334,129.8,131.57142857142858,0,0,0,0,0,0,10,1298,14,1842,-1,502,7,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-47760-22-6,192.168.56.10,47760,192.168.56.11,22,6,04/01/2026 12:29:52 PM,2707327,10,14,1298.0,1842.0,1008.0,0.0,129.79999999999998,310.01999935488027,1112.0,0.0,131.57142857142856,314.6535859018281,1159.8155671627403,8.864832360479543,117709.86956521739,485858.1041304235,2340220.0,6.0,2705414.0,300601.55555555556,783984.8787207428,2384978.0,480.0,2704193.0,208014.84615384613,642252.0380978232,2340220.0,29.0,0,0,0,0,320,464,3.69368015019981,5.171152210279734,0.0,1112.0,125.59999999999998,300.59330220970213,90356.33333333331,0,1,0,0,0,0,0,0,1.0,130.83333333333334,129.8,131.57142857142858,0,0,0,0,0,0,10,1298,14,1842,-1,502,7,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-47748-22-6,192.168.56.11,22,192.168.56.10,47748,6,04/01/2026 12:29:53 PM,2077073,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628934563205049,2077073.0,0.0,2077073.0,2077073.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.48144672816025247,0.48144672816025247,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,502,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-45708-22-6,192.168.56.10,45708,192.168.56.11,22,6,04/01/2026 12:30:00 PM,120504,10,10,1266.0,1790.0,1008.0,0.0,126.59999999999997,310.7096536782996,1112.0,0.0,179.0,366.1101837789638,25360.154019783575,165.96959437031137,6342.315789473684,11186.532419002928,44008.0,1.0,119077.0,13230.777777777777,15481.013966935256,45105.0,1.0,118408.0,13156.444444444445,15651.68838425356,47759.0,61.0,0,0,0,0,320,336,82.98479718515568,82.98479718515568,0.0,1112.0,145.52380952380955,324.8968480991496,105557.96190476192,0,1,0,0,0,0,0,0,1.0,152.8,126.6,179.0,0,0,0,0,0,0,10,1266,10,1790,-1,502,7,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-45722-22-6,192.168.56.10,45722,192.168.56.11,22,6,04/01/2026 12:30:00 PM,873762,10,14,1298.0,1826.0,1008.0,0.0,129.79999999999998,310.01999935488027,1112.0,0.0,130.42857142857142,314.9937030593357,3575.344315728997,27.467433923654266,37989.65217391305,113853.37188786792,545849.0,18.0,867997.0,96444.11111111111,198659.22842737788,614567.0,2817.0,855675.0,65821.15384615384,147890.50332923463,545849.0,30.0,0,0,0,0,320,464,11.444764134855944,16.02266978879832,0.0,1112.0,124.96,300.7735139048428,90464.70666666665,0,1,0,0,0,0,0,0,1.0,130.16666666666666,129.8,130.42857142857142,0,0,0,0,0,0,10,1298,14,1826,-1,502,7,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-45722-22-6,192.168.56.11,22,192.168.56.10,45722,6,04/01/2026 12:30:01 PM,291659,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.857323106778806,291659.0,0.0,291659.0,291659.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,3.428661553389403,3.428661553389403,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,502,0,0,0,0,0,0,0,0,0,0,No Label
192.168.56.10-192.168.56.11-45720-22-6,192.168.56.10,45720,192.168.56.11,22,6,04/01/2026 12:30:00 PM,5003891,10,14,1298.0,1842.0,1008.0,0.0,129.79999999999998,310.01999935488027,1112.0,0.0,131.57142857142856,314.6535859018281,627.5116704180806,4.796267544596795,217560.47826086957,980281.0197317664,4713446.0,18.0,5002644.0,555849.3333333334,1581415.5655159873,4772242.0,794.0,4992351.0,384027.0,1301063.302804287,4713446.0,140.0,0,0,0,0,320,464,1.9984448102486643,2.79782273434813,0.0,1112.0,125.59999999999998,300.59330220970213,90356.33333333331,0,1,0,0,0,0,0,0,1.0,130.83333333333334,129.8,131.57142857142858,0,0,0,0,0,0,10,1298,14,1842,-1,502,7,0,0,0,0,0,0,0,0,0,No Label
