Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
134.221.96.0-0.0.0.128-0-0-0,134.221.96.0,0,0.0.0.128,0,0,22/12/2025 01:55:37 PM,67266174,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0891978782679092,1.34532348E7,1.6299528846345397E7,3.7714127E7,135080.0,2.9552047E7,7388011.75,1.0439667132725973E7,2.2309822E7,135080.0,0,0,0,0,0,0,0,0,0,0,0,0.07433156522325768,0.014866313044651535,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,-1,-1,0,0,0,0,0,0,2.2305278E7,1.5411121502427816E7,3.7714127E7,6891885.0,No Label
134.221.96.1-5.126.0.20-0-0-0,134.221.96.1,0,5.126.0.20,0,0,22/12/2025 01:56:26 PM,79703,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.18631670075154,26567.666666666664,43582.35611269007,76871.0,150.0,2832.0,1416.0,1790.3943699643382,2682.0,150.0,0,0,0,0,0,0,0,0,0,0,0,37.63973752556366,12.546579175187885,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.6-44.2.0.39-0-0-0,134.221.96.6,0,44.2.0.39,0,0,22/12/2025 01:55:42 PM,80,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24999.999999999996,80.0,0.0,80.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12499.999999999998,12499.999999999998,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.11-239.159.0.20-0-0-0,134.221.96.11,0,239.159.0.20,0,0,22/12/2025 01:56:13 PM,107047,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.36676413164311,35682.33333333333,57509.64736749247,102087.0,2062.0,4960.0,2480.0,591.1412690719537,2898.0,2062.0,0,0,0,0,0,0,0,0,0,0,0,28.02507309873233,9.341691032910777,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.7-77.28.0.34-0-0-0,134.221.96.7,0,77.28.0.34,0,0,22/12/2025 01:55:42 PM,14158405,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7769236718401543,1415840.5,2005346.7112455058,6440782.0,244955.0,1.3666906E7,1518545.111111111,2098910.358609167,6440782.0,244955.0,0,0,0,0,0,0,0,0,0,0,0,0.706294247127413,0.0706294247127413,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,10,0,1,0,-1,-1,0,0,7717623.0,0.0,7717623.0,7717623.0,6440782.0,0.0,6440782.0,6440782.0,No Label
134.221.96.10-99.165.0.20-0-0-0,134.221.96.10,0,99.165.0.20,0,0,22/12/2025 01:56:44 PM,92883,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.06493114994133,30961.0,48172.581786738396,86577.0,2291.0,6306.0,3153.0,1219.052090765608,4015.0,2291.0,0,0,0,0,0,0,0,0,0,0,0,32.298698362455994,10.766232787485333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.8-87.187.0.40-0-0-0,134.221.96.8,0,87.187.0.40,0,0,22/12/2025 01:55:30 PM,62650,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.923383878691144,62650.0,0.0,62650.0,62650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.961691939345572,15.961691939345572,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.10-241.68.0.20-0-0-0,134.221.96.10,0,241.68.0.20,0,0,22/12/2025 01:56:22 PM,26456758,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18898763030602617,6614189.5,1.3193214188780976E7,2.6404009E7,10065.0,2.6437575E7,8812525.0,1.5234673515478302E7,2.6404009E7,10065.0,0,0,0,0,0,0,0,0,0,0,0,0.15119010424482093,0.03779752606120523,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,1,0,-1,-1,0,0,42684.0,0.0,42684.0,42684.0,2.6404009E7,0.0,2.6404009E7,2.6404009E7,No Label
134.221.96.8-160.46.0.20-0-0-0,134.221.96.8,0,160.46.0.20,0,0,22/12/2025 01:55:44 PM,95189,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.02166216684701,31729.666666666664,48770.993524156685,88027.0,2329.0,7162.0,3581.0,1770.595380091115,4833.0,2329.0,0,0,0,0,0,0,0,0,0,0,0,31.51624662513526,10.505415541711752,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
134.221.96.10-254.44.4.214-0-0-0,134.221.96.10,0,254.44.4.214,0,0,22/12/2025 01:56:44 PM,19007,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.8365865207555,9503.5,13336.740999959473,18934.0,73.0,18934.0,18934.0,0.0,18934.0,18934.0,0,0,0,0,0,0,0,0,0,0,0,105.224391013837,52.6121955069185,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
