Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.56.10-192.168.56.11-35832-80-6,192.168.56.10,35832,192.168.56.11,80,6,04/01/2026 11:54:13 AM,8965189,1,2,11.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.2269679981091306,0.33462763584794475,4482594.5,6339311.995393546,8965165.0,24.0,0,0,0,0,0,8965189.0,8965189.0,0.0,8965189.0,8965189.0,0,0,0,0,32,52,0.11154254528264824,0.2230850905652965,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,2.0,3.6666666666666665,11.0,0.0,0,0,0,0,0,0,1,11,2,0,-1,0,1,0,0,0,0,0,8965165.0,0.0,8965165.0,8965165.0,No Label
192.168.56.10-192.168.56.11-48580-80-6,192.168.56.10,48580,192.168.56.11,80,6,04/01/2026 11:55:44 AM,10329040,1,2,11.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0649586021547015,0.29044325513310043,5164520.0,7303710.185516536,1.0329023E7,17.0,0,0,0,0,0,1.032904E7,1.032904E7,0.0,1.032904E7,1.032904E7,0,0,0,0,32,52,0.09681441837770015,0.1936288367554003,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,2.0,3.6666666666666665,11.0,0.0,0,0,0,0,0,0,1,11,2,0,-1,0,1,0,0,0,0,0,1.0329023E7,0.0,1.0329023E7,1.0329023E7,No Label
192.168.56.10-192.168.56.11-35516-80-6,192.168.56.10,35516,192.168.56.11,80,6,04/01/2026 11:54:13 AM,8984997,1,2,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,1.1129664261434924,0.3338899278430477,4492498.5,6353319.780728851,8984974.0,23.0,0,0,0,0,0,8984997.0,8984997.0,0.0,8984997.0,8984997.0,0,0,0,0,32,52,0.11129664261434924,0.22259328522869848,0.0,10.0,2.5,5.0,25.0,0,0,0,0,1,0,0,0,2.0,3.3333333333333335,10.0,0.0,0,0,0,0,0,0,1,10,2,0,-1,0,1,0,0,0,0,0,8984974.0,0.0,8984974.0,8984974.0,No Label
192.168.56.10-192.168.56.11-49258-80-6,192.168.56.10,49258,192.168.56.11,80,6,04/01/2026 11:55:45 AM,9354435,2,2,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,1.1759128156858216,0.4276046602493897,3118145.0,5363395.930006566,9311211.0,24.0,9311211.0,9311211.0,0.0,9311211.0,9311211.0,9354435.0,9354435.0,0.0,9354435.0,9354435.0,0,0,0,0,64,52,0.21380233012469485,0.21380233012469485,0.0,11.0,2.2,4.919349550499537,24.2,0,0,0,0,1,0,0,0,1.0,2.75,5.5,0.0,0,0,0,0,0,0,2,11,2,0,-1,0,1,0,43200.0,0.0,43200.0,43200.0,9311211.0,0.0,9311211.0,9311211.0,No Label
192.168.56.10-192.168.56.11-58300-80-6,192.168.56.10,58300,192.168.56.11,80,6,04/01/2026 11:56:31 AM,9458088,2,2,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,1.1630257616549984,0.42291845878363576,3152696.0,5423152.554882815,9414764.0,170.0,9414764.0,9414764.0,0.0,9414764.0,9414764.0,9458088.0,9458088.0,0.0,9458088.0,9458088.0,0,0,0,0,64,52,0.21145922939181788,0.21145922939181788,0.0,11.0,2.2,4.919349550499537,24.2,0,0,0,0,1,0,0,0,1.0,2.75,5.5,0.0,0,0,0,0,0,0,2,11,2,0,-1,0,1,0,43154.0,0.0,43154.0,43154.0,9414764.0,0.0,9414764.0,9414764.0,No Label
192.168.56.10-192.168.56.11-48450-80-6,192.168.56.10,48450,192.168.56.11,80,6,04/01/2026 11:55:44 AM,10425848,2,2,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,1.0550700528148884,0.3836618373872322,3475282.666666667,5980750.085445915,1.038121E7,18.0,1.038121E7,1.038121E7,0.0,1.038121E7,1.038121E7,1.0425848E7,1.0425848E7,0.0,1.0425848E7,1.0425848E7,0,0,0,0,64,52,0.1918309186936161,0.1918309186936161,0.0,11.0,2.2,4.919349550499537,24.2,0,0,0,0,1,0,0,0,1.0,2.75,5.5,0.0,0,0,0,0,0,0,2,11,2,0,-1,0,1,0,44620.0,0.0,44620.0,44620.0,1.038121E7,0.0,1.038121E7,1.038121E7,No Label
192.168.56.10-192.168.56.11-39594-80-6,192.168.56.10,39594,192.168.56.11,80,6,04/01/2026 11:54:58 AM,10365349,2,2,11.0,0.0,11.0,0.0,5.5,7.7781745930520225,0.0,0.0,0.0,0.0,1.0612281361679188,0.3859011404246977,3455116.333333333,5947022.456983439,1.0322101E7,7.0,1.0322101E7,1.0322101E7,0.0,1.0322101E7,1.0322101E7,1.0365349E7,1.0365349E7,0.0,1.0365349E7,1.0365349E7,0,0,0,0,64,52,0.19295057021234885,0.19295057021234885,0.0,11.0,2.2,4.919349550499537,24.2,0,0,0,0,1,0,0,0,1.0,2.75,5.5,0.0,0,0,0,0,0,0,2,11,2,0,-1,0,1,0,43241.0,0.0,43241.0,43241.0,1.0322101E7,0.0,1.0322101E7,1.0322101E7,No Label
192.168.56.10-192.168.56.11-37572-80-6,192.168.56.10,37572,192.168.56.11,80,6,04/01/2026 11:58:05 AM,8714765,1,2,11.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.2622256595559376,0.34424336169707387,4357382.5,6162243.97210306,8714747.0,18.0,0,0,0,0,0,8714765.0,8714765.0,0.0,8714765.0,8714765.0,0,0,0,0,32,52,0.11474778723235796,0.2294955744647159,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,2.0,3.6666666666666665,11.0,0.0,0,0,0,0,0,0,1,11,2,0,-1,0,1,0,0,0,0,0,8714747.0,0.0,8714747.0,8714747.0,No Label
192.168.56.10-192.168.56.11-37668-80-6,192.168.56.10,37668,192.168.56.11,80,6,04/01/2026 11:58:05 AM,8693182,1,2,11.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,1.2653594506591488,0.34509803199794964,4346591.0,6146979.658017586,8693162.0,20.0,0,0,0,0,0,8693182.0,8693182.0,0.0,8693182.0,8693182.0,0,0,0,0,32,52,0.11503267733264988,0.23006535466529976,0.0,11.0,2.75,5.5,30.249999999999996,0,0,0,0,1,0,0,0,2.0,3.6666666666666665,11.0,0.0,0,0,0,0,0,0,1,11,2,0,-1,0,1,0,0,0,0,0,8693162.0,0.0,8693162.0,8693162.0,No Label
192.168.56.10-192.168.56.11-34804-80-6,192.168.56.10,34804,192.168.56.11,80,6,04/01/2026 11:54:11 AM,10706200,1,2,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.9340382208439969,0.28021146625319904,5353100.0,7570173.47651175,1.0706021E7,179.0,0,0,0,0,0,1.07062E7,1.07062E7,0.0,1.07062E7,1.07062E7,0,0,0,0,32,52,0.09340382208439969,0.18680764416879939,0.0,10.0,2.5,5.0,25.0,0,0,0,0,1,0,0,0,2.0,3.3333333333333335,10.0,0.0,0,0,0,0,0,0,1,10,2,0,-1,0,1,0,0,0,0,0,1.0706021E7,0.0,1.0706021E7,1.0706021E7,No Label
